Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
,,,,,,$ 556.50,,,,
03-03-00-04/01-01,Installation of cable sheath within a building or cable chamber,m,,$ 3.71,150,$ 556.50,,,,
,2GFT-ODF-020-S20,m,Craig Comms,$ 3.71,150,$ 556.50,,,01,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 33,600.00",,,,
06-02-00-06/01-05,"Equipment & fibre installation, testing and commissioning of large Node Cab",ea,,"$ 1,600.00",21,"$ 33,600.00",,,,
,2GFT-20-01-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,01,Craig Smith
,2GFT-20-02-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,02,Craig Smith
,2GFT-20-03-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,03,Craig Smith
,2GFT-20-04-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,04,Craig Smith
,2GFT-20-05-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,05,Craig Smith
,2GFT-20-06-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,06,Craig Smith
,2GFT-20-07-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,07,Craig Smith
,2GFT-20-08-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,08,Craig Smith
,2GFT-20-09-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,09,Craig Smith
,2GFT-20-10-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,10,Craig Smith
,2GFT-20-11-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,11,Craig Smith
,2GFT-20-12-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,12,Craig Smith
,2GFT-20-13-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,13,Craig Smith
,2GFT-20-14-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,14,Craig Smith
,2GFT-20-15-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,15,Craig Smith
,2GFT-20-16-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,16,Craig Smith
,2GFT-20-17-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,17,Craig Smith
