Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2YON-01: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,
,,,,,,$ 408.10,,,,
03-03-00-04/01-01,Installation of cable sheath within a building or cable chamber,m,,$ 3.71,110,$ 408.10,,,,
,2YON-ODF-001-S01,m,Craig Comms,$ 3.71,110,$ 408.10,,,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 24,000.00",,,,
06-02-00-06/01-05,"Equipment & fibre installation, testing and commissioning of large Node Cab",ea,,"$ 1,600.00",15,"$ 24,000.00",,,,Cameron Grieve
,2YON-01-01-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,1,
,2YON-01-02-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,2,
,2YON-01-03-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,3,
,2YON-01-04-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,4,
,2YON-01-05-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,5,
,2YON-01-06-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,6,
,2YON-01-07-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,7,
,2YON-01-08-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,8,
,2YON-01-09-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,9,
,2YON-01-10-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,10,
,2YON-01-11-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,11,
,2YON-01-12-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,12,
,2YON-01-13-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,13,
,2YON-01-14-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,14,
,2YON-01-15-FNO-001,ea,Craig Comms,"$ 1,600.00",1,"$ 1,600.00",,,15,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 6,044.81",,,,
06-01-01-02/01-01,Installation of a DFN fibre joint enclosure - ORS 6,JntEnc,,$ 141.04,7,$ 987.28,,,,
,2YON-01-00-DJL-001,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
,2YON-01-00-DJL-002,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
,2YON-01-00-DJL-003,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
,2YON-01-00-DJL-004,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
,2YON-01-00-DJL-005,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
